RVA,label,comment
00005910,DrawsActualWorld,DrawsActualWorld
0000DE60,DrawTiles?,DrawTiles?
0000DF50,IsWithinUpdateRange,IsWithinUpdateRange
00012AD0,ActualDrawGameWindow,ActualDrawGameWindow
00012EA0,DrawGameWindow,DrawGameWindow
00013090,DrawsNewTiles,DrawsNewTiles
00013BC0,AddLightnessLevelToTiles,AddLightnessLevelToTiles
00025270,HandleStatusPacket,HandleStatusPacket
0002DB30,CreateStatusPacket,CreateStatusPacket
000347D0,HandleNetworkPacket,HandleNetworkPacket
000376F0,DrawFrameCounter,DrawFrameCounter
000479B0,DrawButtonGump,DrawButtonGump
00047B30,InvisibleButtonGump,InvisibleButtonGump
00047E00,PaperdollButtonCallback,PaperdollButtonCallback
0004B340,ShowCharCreationGump,ShowCharCreationGump
00050F40,CreateInputControlGump,CreateInputControlGump
00055510,AcctLoginGump,AcctLoginGump
00056792,CreatePlayCharGump,CreatePlayCharGump
000579A0,CreateMainMenuGump,CreateMainMenuGump
00082620,PaperDollClickEvent,PaperDollClickEvent
00083300,InitGump,InitGump
00086EF0,CreateWaitingGump,CreateWaitingGump
00094FD0,CreateLoginGump,CreateLoginGump
0009CFB0,CreateOptionsGump,CreateOptionsGump
000A1BF0,CreatePartyGump,CreatePartyGump
000A2F30,PartyButtonClick,PartyButtonClick
000A4140,CreatePaperdollGump,CreatePaperdollGump
000A47A0,ClosePaperdollGump,ClosePaperdollGump
000A48E0,PaperDollContentMouseEvent,PaperDollContentMouseEvent
000A4B80,CheckIfPaperdollSingleClick,CheckIfPaperdollSingleClick
000A4C10,DrawBox?,DrawBox?
000A4E90,DrawPaperdollContent?,DrawPaperdollContent?
000A6300,ShowPaperdollTooltip,ShowPaperdollTooltip
000A6830,ShowStatusGump,ShowStatusGump
000A86E0,RenderStatusGump?,RenderStatusGump?
000AA350,CreateMenubarGump,CreateMenubarGump
000AABA0,CharacterTemplateGump?,CharacterTemplateGump?
000CBDE0,ShowStatus,ShowStatus
000CC4D0,handleGuildButton,handleGuildButton
000CDDB0,CreateCharacterCallback,CreateCharacterCallback
000D4CA0,ReadConfig,ReadConfig
000DFFD0,DrawTextOnGump,DrawTextOnGump
000E0070,DrawCenteredTextOnGump,DrawCenteredTextOnGump
000E0AA0,CreateDynamicGump?,CreateDynamicGump?
000E44A0,DrawEverything,DrawEverything
000E4700,GetGameWindowWidth,GetGameWindowWidth
000E4710,GetGameWindowHeight,GetGameWindowHeight
000E4720,GetGameWindowWidth2,GetGameWindowWidth2
000E4730,GetGameWindowHeight2,GetGameWindowHeight2
000E4740,ChangeGameWindowRes,ChangeGameWindowRes
000F4550,HandleHoverTooltip,HandleHoverTooltip
000F5CF0,HoverShowText,HoverShowText
001030B0,SynchronizeCriticalSection,SynchronizeCriticalSection
00103110,CalculateMouseMoveDirection,CalculateMouseMoveDirection
00103DF0,ProcessMouseInput,ProcessMouseInput
00106550,AnimateWalk,AnimateWalk
001066B0,HandleMoving,HandleMoving
00106FE0,CalculateCenterTile?,CalculateCenterTile?
00108CF0,DrawFrame,DrawFrame
001097F0,DoDrawFrameCounter,DoDrawFrameCounter
00115C50,GetUpdateRange,GetUpdateRange
00115C60,SetUpdateRange,SetUpdateRange
00115C70,DefaultUpdateRange,DefaultUpdateRange
0011A4C0,SaveConfigString,SaveConfigString
00126C60,EventLoopStub,EventLoopStub
0012A5E0,strcpy,strcpy
0012A6E0,UpdateTooltipCache,UpdateTooltipCache
0012F670,DebugUpdateRange,DebugUpdateRange
0012F850,CleanupGarbage,CleanupGarbage
00130240,unicodeToASCII?,unicodeToASCII?
00150FCF,sprintf,sprintf
00151130,UpdateStatusGumpName,UpdateStatusGumpName
001516C0,strcmp,strcmp
00189F1C,ptr_paperdoll,
001BEAD8,GameWindowWidth,
001BEADC,GameWindowHeight,
001F072C,WindowWidth,
001F0730,WindowHeight,
001F45FC,desiredUpdateRange,
00200E28,CurrentCenterTile?,
00200E2C,CenterTileCoords?,
00231984,tileBufferSize?,
002B19A8,unixSeconds,
002B797D,statusStruct,
002B7980,str,
002B7982,dex,
002B7984,int,
002B7986,hp,
002B7988,hpMax,
002B798A,stamina,
002B798C,staminaMax,
002B798E,mana,
002B7990,manaMax,
002B7994,gold,
002B7998,weight,
002B799A,weightMax,
002B799E,statsMax,
00382A30,hWND?,
00392A40,DoDeathAnimation,
003D7B50,WorldCenterTile?,
003D8480,WalkDirection?,
003D8D24,lastTick,
003D8D28,nextFrameTick,
0041BE98,frameLength,
0041C214,FrameCounter,
00420992,reducedFramerate,
00420995,frameSkipping,
00420AE0,debug,
00499F14,someUpdateRange,
0049B2A4,GetTickCount,
